delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr,label
99.80335187,111.1483691,88.9669294,186.8492849,0.476142734,0.594855737,0.53413826,1.249322303,1.121802815,1.307485016,0
95.89393769,104.7601408,83.16632611,175.154068,0.474818125,0.598102813,0.54748336,1.259646129,1.15303804,1.287391694,0
96.51771699,113.8675035,89.31181648,191.9045476,0.465397082,0.593354899,0.502946481,1.274943316,1.080682499,1.336673572,0
95.37613394,117.8935483,91.50892213,200.0179309,0.457503593,0.589414898,0.476837919,1.288328456,1.042260489,1.36693997,0
71.86600578,70.54828468,76.69688711,181.3817619,0.422847845,0.388949164,0.396214068,0.919832438,0.937013332,1.812168205,0
66.79202341,60.7305561,74.00095173,184.9377589,0.400139767,0.328383757,0.361159472,0.820672636,0.902583303,2.030532253,0
74.05358185,61.57048026,87.15091993,203.584812,0.428081639,0.302431599,0.363748067,0.706481129,0.849716583,2.143688423,0
79.80211787,62.90615868,86.96111835,217.5197051,0.399785014,0.289197517,0.366873051,0.723382586,0.917675846,2.133589101,0
81.86503044,71.48288474,87.3679501,221.4406853,0.394543351,0.322808271,0.369692816,0.818182007,0.937014435,2.013777853,0
82.18587446,72.46022395,89.51817282,227.4519586,0.393569584,0.318573752,0.361332894,0.809447084,0.91809151,2.049648421,0
81.24446607,72.41413698,85.59690673,225.9342255,0.378857637,0.320509816,0.359593443,0.845990115,0.949151893,2.027423952,0
81.42845308,75.64982575,86.27546031,233.610755,0.369312878,0.323828523,0.348564659,0.876840593,0.943819399,2.036476448,0
83.52447919,83.29296919,95.42244217,237.2399436,0.402219124,0.351091675,0.352067523,0.87288658,0.875312739,1.994170208,0
1007.883238,815.9918246,486.3769656,846.9303968,0.574282099,0.963469758,1.190042585,1.677694222,2.072226503,0.731029986,0
1021.944446,791.340329,493.1100079,842.9630629,0.58497226,0.938760384,1.212324111,1.604794704,2.072447182,0.736824733,0
1044.274946,785.4955386,527.3578489,856.8227704,0.615480665,0.916753809,1.218775903,1.489492458,1.98020177,0.756477728,0
1062.117651,847.8429958,547.3750378,867.1164134,0.631258997,0.977772976,1.224884726,1.548925211,1.94038379,0.740586699,0
